Gas_Consumption,Date,Time
1.947428036800484,2007-01-01,00:00:00
1.6004048880319517,2007-01-01,00:10:00
2.63733509095164,2007-01-01,00:20:00
1.6672541638955638,2007-01-01,00:30:00
2.1893062922399955,2007-01-01,00:40:00
2.102373538055778,2007-01-01,00:50:00
1.549937159783764,2007-01-01,01:00:00
2.8519079284560864,2007-01-01,01:10:00
1.9304497298130048,2007-01-01,01:20:00
1.7584125625215017,2007-01-01,01:30:00
3.0518985215518595,2007-01-01,01:40:00
1.899071636201986,2007-01-01,01:50:00
1.15323830054625,2007-01-01,02:00:00
1.9105003012873525,2007-01-01,02:10:00
2.709581922603866,2007-01-01,02:20:00
2.511924175640051,2007-01-01,02:30:00
2.594989622695893,2007-01-01,02:40:00
2.42365455487674,2007-01-01,02:50:00
1.4002519302317316,2007-01-01,03:00:00
2.7628487391939425,2007-01-01,03:10:00
2.981067620864324,2007-01-01,03:20:00
1.1972877907847823,2007-01-01,03:30:00
1.062726045593864,2007-01-01,03:40:00
2.895633311512834,2007-01-01,03:50:00
2.595579761484794,2007-01-01,04:00:00
2.779651756807181,2007-01-01,04:10:00
2.726783045466298,2007-01-01,04:20:00
1.8994937576124171,2007-01-01,04:30:00
2.1479711674660997,2007-01-01,04:40:00
2.016607745646707,2007-01-01,04:50:00
0.8430647999648774,2007-01-01,05:00:00
2.435149564258278,2007-01-01,05:10:00
1.8839778796857212,2007-01-01,05:20:00
2.3344885143708307,2007-01-01,05:30:00
1.7981782205023764,2007-01-01,05:40:00
1.7986503203984896,2007-01-01,05:50:00
1.1183410883837757,2007-01-01,06:00:00
1.4013429221871745,2007-01-01,06:10:00
1.0648936842899426,2007-01-01,06:20:00
1.1435913978828651,2007-01-01,06:30:00
2.920388231667633,2007-01-01,06:40:00
1.1120173370352455,2007-01-01,06:50:00
1.2994547429717496,2007-01-01,07:00:00
1.9674016171885431,2007-01-01,07:10:00
2.0872370463506997,2007-01-01,07:20:00
1.0622328080155987,2007-01-01,07:30:00
2.485146923856393,2007-01-01,07:40:00
2.462345593423293,2007-01-01,07:50:00
1.3003995843398268,2007-01-01,08:00:00
1.373748396089022,2007-01-01,08:10:00
2.7025746043937984,2007-01-01,08:20:00
2.5973297104400106,2007-01-01,08:30:00
2.288490735178965,2007-01-01,08:40:00
0.9253004910155032,2007-01-01,08:50:00
1.612627411984566,2007-01-01,09:00:00
1.968260627929404,2007-01-01,09:10:00
1.641282897467268,2007-01-01,09:20:00
2.466134157184291,2007-01-01,09:30:00
2.894457963284464,2007-01-01,09:40:00
2.1157256050655318,2007-01-01,09:50:00
3.4899191729529258,2007-01-01,10:00:00
2.651575604922061,2007-01-01,10:10:00
1.348046631278713,2007-01-01,10:20:00
2.759334404537041,2007-01-01,10:30:00
1.0011353435684485,2007-01-01,10:40:00
2.7402860907770155,2007-01-01,10:50:00
1.0980632251371456,2007-01-01,11:00:00
0.9807929567434164,2007-01-01,11:10:00
2.230853770280145,2007-01-01,11:20:00
1.885782923125748,2007-01-01,11:30:00
2.9312744419349457,2007-01-01,11:40:00
1.6210865349818422,2007-01-01,11:50:00
1.3838069779185995,2007-01-01,12:00:00
1.9337038064047087,2007-01-01,12:10:00
1.8767488405207224,2007-01-01,12:20:00
1.6469601523077677,2007-01-01,12:30:00
2.4403293257072285,2007-01-01,12:40:00
2.661636890313932,2007-01-01,12:50:00
2.842178993002401,2007-01-01,13:00:00
2.988301340256322,2007-01-01,13:10:00
1.3748159986524209,2007-01-01,13:20:00
2.4688815269058835,2007-01-01,13:30:00
1.715660919298967,2007-01-01,13:40:00
0.1855122500502234,2007-01-01,13:50:00
0.847838418809843,2007-01-01,14:00:00
0.7333590165895589,2007-01-01,14:10:00
0.5124223903054577,2007-01-01,14:20:00
1.6664287253628844,2007-01-01,14:30:00
1.5772088917996008,2007-01-01,14:40:00
3.070806111729813,2007-01-01,14:50:00
2.774576967346755,2007-01-01,15:00:00
1.9029329038586384,2007-01-01,15:10:00
1.4418571067373924,2007-01-01,15:20:00
0.8739376579095484,2007-01-01,15:30:00
0.4047664391262153,2007-01-01,15:40:00
0.9768378150092416,2007-01-01,15:50:00
1.009590603085626,2007-01-01,16:00:00
1.0539974706259074,2007-01-01,16:10:00
1.475491640503471,2007-01-01,16:20:00
1.4138294571240062,2007-01-01,16:30:00
1.5371181767149853,2007-01-01,16:40:00
0.980855106109266,2007-01-01,16:50:00
1.16546856019396,2007-01-01,17:00:00
0.9779350944201124,2007-01-01,17:10:00
1.7887430208796242,2007-01-01,17:20:00
1.688334979503252,2007-01-01,17:30:00
1.279377041380906,2007-01-01,17:40:00
1.558859816510134,2007-01-01,17:50:00
1.4518748387125326,2007-01-01,18:00:00
0.6335134402538638,2007-01-01,18:10:00
1.4156697347642568,2007-01-01,18:20:00
1.0143144284733454,2007-01-01,18:30:00
0.7878665137822131,2007-01-01,18:40:00
0.4844037820920026,2007-01-01,18:50:00
1.1107410048836024,2007-01-01,19:00:00
0.9137223006491632,2007-01-01,19:10:00
0.1884375013837363,2007-01-01,19:20:00
0.3330736403894142,2007-01-01,19:30:00
0.5359698982353753,2007-01-01,19:40:00
0.2653583892345059,2007-01-01,19:50:00
0.1515811849250215,2007-01-01,20:00:00
0.3744848555390663,2007-01-01,20:10:00
0.1421233328585815,2007-01-01,20:20:00
0.6128630670677181,2007-01-01,20:30:00
0.3113488391703966,2007-01-01,20:40:00
0.2169956055786772,2007-01-01,20:50:00
0.2452601557509594,2007-01-01,21:00:00
0.1639119120498307,2007-01-01,21:10:00
0.1863404362127633,2007-01-01,21:20:00
0.1534718806342845,2007-01-01,21:30:00
0.3965425129712873,2007-01-01,21:40:00
0.2384422457592432,2007-01-01,21:50:00
0.2808276010694305,2007-01-01,22:00:00
0.3673483128086305,2007-01-01,22:10:00
0.2647986882866959,2007-01-01,22:20:00
0.2035768908277439,2007-01-01,22:30:00
0.1240725992296328,2007-01-01,22:40:00
0.1223633624123707,2007-01-01,22:50:00
0.3590589385573157,2007-01-01,23:00:00
0.3212423864144119,2007-01-01,23:10:00
0.3863346636009409,2007-01-01,23:20:00
0.2588983875884201,2007-01-01,23:30:00
0.2689253504838476,2007-01-01,23:40:00
0.4264928316648252,2007-01-01,23:50:00
0.4162439133460162,2007-01-02,00:00:00
0.2020764543212924,2007-01-02,00:10:00
0.1523074446238248,2007-01-02,00:20:00
0.4434501873264627,2007-01-02,00:30:00
0.325665363783319,2007-01-02,00:40:00
0.3142089820355551,2007-01-02,00:50:00
0.3334912701763513,2007-01-02,01:00:00
0.4200182262033089,2007-01-02,01:10:00
0.405094441504438,2007-01-02,01:20:00
0.2953777207114471,2007-01-02,01:30:00
0.3573521918547209,2007-01-02,01:40:00
0.4227750160850869,2007-01-02,01:50:00
0.3669623242350458,2007-01-02,02:00:00
0.3480068585715671,2007-01-02,02:10:00
0.4171021985454149,2007-01-02,02:20:00
0.2838861935118529,2007-01-02,02:30:00
0.3276855415512701,2007-01-02,02:40:00
0.3832745708016511,2007-01-02,02:50:00
0.3874202730687634,2007-01-02,03:00:00
0.1703080558297543,2007-01-02,03:10:00
0.619830257536549,2007-01-02,03:20:00
0.1566428905826327,2007-01-02,03:30:00
0.3738457807060872,2007-01-02,03:40:00
0.3774392557186105,2007-01-02,03:50:00
0.6506835869356004,2007-01-02,04:00:00
0.1666886224946783,2007-01-02,04:10:00
0.3181250463882958,2007-01-02,04:20:00
1.0084031879667197,2007-01-02,04:30:00
0.9262329720290612,2007-01-02,04:40:00
0.5978575522940519,2007-01-02,04:50:00
1.16765084875565,2007-01-02,05:00:00
1.0659972402302278,2007-01-02,05:10:00
0.1741917634524774,2007-01-02,05:20:00
0.4715872682386058,2007-01-02,05:30:00
0.4396559605518059,2007-01-02,05:40:00
0.4536721156943137,2007-01-02,05:50:00
0.4726904086409422,2007-01-02,06:00:00
0.3262395498375509,2007-01-02,06:10:00
0.4607906657204494,2007-01-02,06:20:00
0.4142924023965763,2007-01-02,06:30:00
0.214269834462344,2007-01-02,06:40:00
0.2482786508241271,2007-01-02,06:50:00
0.3251697145621496,2007-01-02,07:00:00
0.2448322697493368,2007-01-02,07:10:00
0.302714528675291,2007-01-02,07:20:00
0.463676756311375,2007-01-02,07:30:00
0.4523945646770776,2007-01-02,07:40:00
0.2732043432186176,2007-01-02,07:50:00
