Water_Consumption,Date,Time
6.768940519878585,2007-01-01,00:00:00
3.615180051573511,2007-01-01,00:10:00
3.134192587968214,2007-01-01,00:20:00
2.909247666153753,2007-01-01,00:30:00
1.7069605024312198,2007-01-01,00:40:00
1.6308023775557998,2007-01-01,00:50:00
1.37623418760678,2007-01-01,01:00:00
3.4974109331838337,2007-01-01,01:10:00
2.823258890109587,2007-01-01,01:20:00
2.9573616704447194,2007-01-01,01:30:00
1.326449291465705,2007-01-01,01:40:00
3.751209942717409,2007-01-01,01:50:00
3.336436372564256,2007-01-01,02:00:00
1.7865464895811165,2007-01-01,02:10:00
1.789108713951432,2007-01-01,02:20:00
1.7180789377715324,2007-01-01,02:30:00
2.066902564406012,2007-01-01,02:40:00
2.650020132200967,2007-01-01,02:50:00
2.467790409364323,2007-01-01,03:00:00
2.031876432028572,2007-01-01,03:10:00
3.002002815750425,2007-01-01,03:20:00
1.6128035165644494,2007-01-01,03:30:00
2.0168002751706653,2007-01-01,03:40:00
2.1295174108158945,2007-01-01,03:50:00
2.2945679621208863,2007-01-01,04:00:00
3.236073070787608,2007-01-01,04:10:00
1.7379896748813657,2007-01-01,04:20:00
2.4463334654536317,2007-01-01,04:30:00
2.661121889747936,2007-01-01,04:40:00
1.393448552435994,2007-01-01,04:50:00
2.697979259231904,2007-01-01,05:00:00
1.681674502207727,2007-01-01,05:10:00
1.4103687760912578,2007-01-01,05:20:00
3.8308533604978128,2007-01-01,05:30:00
3.502860559048197,2007-01-01,05:40:00
3.168938377138069,2007-01-01,05:50:00
1.979349872166492,2007-01-01,06:00:00
1.520477858032241,2007-01-01,06:10:00
2.846896195735225,2007-01-01,06:20:00
2.258246289962522,2007-01-01,06:30:00
1.5451429753544306,2007-01-01,06:40:00
2.527749351682626,2007-01-01,06:50:00
1.2803948965920633,2007-01-01,07:00:00
3.334452071318398,2007-01-01,07:10:00
1.8650811947728416,2007-01-01,07:20:00
2.8156289727053445,2007-01-01,07:30:00
1.988692136419057,2007-01-01,07:40:00
2.495086379800925,2007-01-01,07:50:00
2.650270427297184,2007-01-01,08:00:00
1.6806328338596437,2007-01-01,08:10:00
3.471158890779888,2007-01-01,08:20:00
3.175080730169176,2007-01-01,08:30:00
3.549804389897291,2007-01-01,08:40:00
3.450802864958004,2007-01-01,08:50:00
2.617393549485626,2007-01-01,09:00:00
3.4835918758066367,2007-01-01,09:10:00
2.060900742185822,2007-01-01,09:20:00
2.440115915641523,2007-01-01,09:30:00
1.876672328430072,2007-01-01,09:40:00
2.936525316855694,2007-01-01,09:50:00
3.092596968119397,2007-01-01,10:00:00
1.9360860697524789,2007-01-01,10:10:00
3.029521520866399,2007-01-01,10:20:00
2.24126670263043,2007-01-01,10:30:00
1.9882592616640715,2007-01-01,10:40:00
2.711009816211446,2007-01-01,10:50:00
1.6087198046866542,2007-01-01,11:00:00
3.409151695614076,2007-01-01,11:10:00
1.4605077362339771,2007-01-01,11:20:00
3.8688798090345458,2007-01-01,11:30:00
3.3383702746344293,2007-01-01,11:40:00
1.8068787524473695,2007-01-01,11:50:00
1.252683806232287,2007-01-01,12:00:00
3.388628639699653,2007-01-01,12:10:00
3.188517102445404,2007-01-01,12:20:00
3.318319353710666,2007-01-01,12:30:00
3.3561537152508967,2007-01-01,12:40:00
1.5533648275924483,2007-01-01,12:50:00
2.2852357693848537,2007-01-01,13:00:00
1.5655391493128796,2007-01-01,13:10:00
3.4704613222792613,2007-01-01,13:20:00
2.936301303527236,2007-01-01,13:30:00
2.176952825113941,2007-01-01,13:40:00
0.1149659034583488,2007-01-01,13:50:00
0.9439834224770308,2007-01-01,14:00:00
0.5066625597244226,2007-01-01,14:10:00
0.6590689115892023,2007-01-01,14:20:00
1.638082758751507,2007-01-01,14:30:00
2.08081911386449,2007-01-01,14:40:00
2.68331319344698,2007-01-01,14:50:00
1.6642301445902783,2007-01-01,15:00:00
3.236937092310951,2007-01-01,15:10:00
3.452029463113065,2007-01-01,15:20:00
1.4645625326459049,2007-01-01,15:30:00
1.6166702529022017,2007-01-01,15:40:00
1.2581452249973186,2007-01-01,15:50:00
1.3684165257131082,2007-01-01,16:00:00
1.2651659490410618,2007-01-01,16:10:00
0.6588755849370954,2007-01-01,16:20:00
0.7671589808655502,2007-01-01,16:30:00
2.2001168287430795,2007-01-01,16:40:00
1.7637089582813874,2007-01-01,16:50:00
1.3925487276405186,2007-01-01,17:00:00
1.5794217023639243,2007-01-01,17:10:00
2.47168672821422,2007-01-01,17:20:00
1.6394513973777385,2007-01-01,17:30:00
1.4293011891659388,2007-01-01,17:40:00
1.833104662272851,2007-01-01,17:50:00
1.0319782023361377,2007-01-01,18:00:00
0.872393623661135,2007-01-01,18:10:00
1.1862066822764796,2007-01-01,18:20:00
0.9693504071143704,2007-01-01,18:30:00
1.9929985273655464,2007-01-01,18:40:00
1.8366010129084411,2007-01-01,18:50:00
1.7046392497916771,2007-01-01,19:00:00
2.021532909936696,2007-01-01,19:10:00
0.4667146035298829,2007-01-01,19:20:00
0.2471652211989728,2007-01-01,19:30:00
0.751981859184588,2007-01-01,19:40:00
0.5300645433769818,2007-01-01,19:50:00
0.5752736682721876,2007-01-01,20:00:00
0.4914241375730696,2007-01-01,20:10:00
0.3762815984870574,2007-01-01,20:20:00
0.3269878315468347,2007-01-01,20:30:00
0.262056658515099,2007-01-01,20:40:00
0.3411756662144623,2007-01-01,20:50:00
0.6194669399835718,2007-01-01,21:00:00
0.7239086702923747,2007-01-01,21:10:00
0.1845305755133534,2007-01-01,21:20:00
0.3658905235330787,2007-01-01,21:30:00
0.427513527467331,2007-01-01,21:40:00
0.382717139549487,2007-01-01,21:50:00
0.2243912629747931,2007-01-01,22:00:00
0.3702259057604035,2007-01-01,22:10:00
0.672395922023234,2007-01-01,22:20:00
0.5054466002607437,2007-01-01,22:30:00
0.3789901112885322,2007-01-01,22:40:00
0.4547411664623772,2007-01-01,22:50:00
0.3212702120850974,2007-01-01,23:00:00
0.8065365813310865,2007-01-01,23:10:00
0.5557299720780022,2007-01-01,23:20:00
0.2826701432303369,2007-01-01,23:30:00
0.3789544322391064,2007-01-01,23:40:00
0.448491853497391,2007-01-01,23:50:00
0.3468994985148407,2007-01-02,00:00:00
0.1986481705211771,2007-01-02,00:10:00
0.4127579322405216,2007-01-02,00:20:00
0.5554841788687894,2007-01-02,00:30:00
0.3022103556849942,2007-01-02,00:40:00
0.3503909089064752,2007-01-02,00:50:00
0.5323245048953951,2007-01-02,01:00:00
0.4171129063361724,2007-01-02,01:10:00
0.3043903796270573,2007-01-02,01:20:00
0.3700553323438085,2007-01-02,01:30:00
0.5496906680209223,2007-01-02,01:40:00
0.3354089827231982,2007-01-02,01:50:00
0.5509037072807629,2007-01-02,02:00:00
0.4819386930555701,2007-01-02,02:10:00
0.2832528168930814,2007-01-02,02:20:00
0.5060251356280862,2007-01-02,02:30:00
0.4234781687669955,2007-01-02,02:40:00
0.4393346622703088,2007-01-02,02:50:00
0.5327589640576206,2007-01-02,03:00:00
0.484742552146987,2007-01-02,03:10:00
0.3317428507705775,2007-01-02,03:20:00
0.6382745928916558,2007-01-02,03:30:00
0.3151795449491466,2007-01-02,03:40:00
0.263623107993544,2007-01-02,03:50:00
0.3039156295537774,2007-01-02,04:00:00
0.5214468268439796,2007-01-02,04:10:00
0.4474744575000673,2007-01-02,04:20:00
0.7604172841818042,2007-01-02,04:30:00
1.5687442403638858,2007-01-02,04:40:00
1.1391453755103669,2007-01-02,04:50:00
1.6582102005128836,2007-01-02,05:00:00
0.9832262534892776,2007-01-02,05:10:00
0.52639448024129,2007-01-02,05:20:00
0.4912513818504977,2007-01-02,05:30:00
0.6551488748639509,2007-01-02,05:40:00
0.2919845924188649,2007-01-02,05:50:00
0.3566121328453095,2007-01-02,06:00:00
0.2993750783654074,2007-01-02,06:10:00
0.5670280600748681,2007-01-02,06:20:00
0.5288983116982967,2007-01-02,06:30:00
0.2865019352763288,2007-01-02,06:40:00
0.6495910657791403,2007-01-02,06:50:00
0.6190944340945713,2007-01-02,07:00:00
0.3904243002918011,2007-01-02,07:10:00
0.3809707139917223,2007-01-02,07:20:00
0.4169209874860539,2007-01-02,07:30:00
0.2751996842619372,2007-01-02,07:40:00
0.5029976728631976,2007-01-02,07:50:00
0.6301881257234987,2007-01-02,08:00:00
0.591478960696646,2007-01-02,08:10:00
0.4480419084200062,2007-01-02,08:20:00
0.3108107043082339,2007-01-02,08:30:00
0.4486997784665076,2007-01-02,08:40:00
0.6231111759388493,2007-01-02,08:50:00
0.6436081008590144,2007-01-02,09:00:00
0.5145099694347648,2007-01-02,09:10:00
1.2608029373543337,2007-01-02,09:20:00
0.2558533046678314,2007-01-02,09:30:00
0.30831898076809,2007-01-02,09:40:00
0.6405378183454022,2007-01-02,09:50:00
0.3961016033581332,2007-01-02,10:00:00
